epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,43473.7,1.75745,0.80017,1.05555,0.64239,0.4905,0.55378,0.31704,1.74358,0.80016,1.05554,0.000447606,0.000447606,0.000447606
90,43929.2,1.75474,0.79823,1.05518,0.64293,0.49123,0.55379,0.31704,1.74351,0.79985,1.05545,0.00039264,0.00039264,0.00039264
91,44383.9,1.75343,0.79554,1.05424,0.64272,0.49247,0.55354,0.31719,1.7436,0.79964,1.05538,0.00034227,0.00034227,0.00034227
92,44838.7,1.7508,0.79432,1.05277,0.64434,0.49278,0.55399,0.31755,1.74369,0.79933,1.0553,0.000296546,0.000296546,0.000296546
93,45293.3,1.74928,0.79227,1.05268,0.64353,0.49278,0.55438,0.31777,1.74404,0.79921,1.05535,0.000255513,0.000255513,0.000255513
94,45747.9,1.74653,0.79042,1.05257,0.6449,0.49287,0.55454,0.31746,1.74434,0.79905,1.05543,0.000219212,0.000219212,0.000219212
95,46203.2,1.7456,0.78957,1.05137,0.64376,0.49289,0.55451,0.31768,1.74468,0.79895,1.0555,0.000187678,0.000187678,0.000187678
96,46658.8,1.74349,0.78821,1.05143,0.64381,0.49326,0.55438,0.31763,1.74515,0.79886,1.05566,0.000160943,0.000160943,0.000160943
97,47114.1,1.7427,0.78729,1.05066,0.64334,0.49317,0.55405,0.31736,1.74564,0.79879,1.05575,0.000139032,0.000139032,0.000139032
98,47569.2,1.74298,0.78682,1.05087,0.64406,0.49205,0.55439,0.31728,1.74619,0.79876,1.05586,0.000121968,0.000121968,0.000121968
99,48023.9,1.7423,0.78531,1.05129,0.64203,0.4931,0.5538,0.317,1.74672,0.79887,1.05598,0.000109768,0.000109768,0.000109768
100,48478.9,1.73981,0.78443,1.05017,0.64072,0.49335,0.5536,0.317,1.74734,0.79892,1.05616,0.000102443,0.000102443,0.000102443
